history_block_num,rentrex,loan_num,total_lendable,total_lent,total_rent,total_rex,total_unlent
117158400,6499,284287,79034603.2127,32030188.0143,7231.0244,785825632940.2441,47004415.1984
116985600,6458,284046,78982664.1228,32156233.0969,7250.4303,785311953534.2867,46826431.0259
116812800,6419,283812,79155775.2155,32382025.9151,7285.5242,787035965628.79,46773749.3004
116640000,6293,283648,78727064.143,32630485.3883,7324.4069,782776165652.5999,46096578.7547
116467200,6192,283461,78736407.5138,33003802.4358,7384.2036,782871922798.2161,45732605.078
116294400,6311,283258,78527340.4878,32462074.509,7297.7319,780795991792.849,46065265.9788
116121600,6260,283109,78586945.9869,32679592.5133,7332.3015,781391523016.04,45907353.4736
115948800,6220,282918,78616839.0563,32840043.4113,7358.0425,781691664374.5308,45776795.645
115776000,6230,282705,78633339.9608,32814853.4152,7353.9805,781858729386.1898,45818486.5456
115603200,6430,282526,78705443.2422,32119138.48,7244.2053,782578689955.1819,46586304.7622
115430400,6280,282338,79028376.246,32829066.4807,7355.8699,785792858918.4167,46199309.7653
115257600,6449,282066,79437055.8304,32416219.0573,7290.7187,789859629263.1718,47020836.7731
115084800,6468,281934,79594566.0798,32425816.684,7292.1834,791428948603.7245,47168749.3958
114912000,6385,281805,79584893.6748,32722513.6832,7338.3377,791336040802.6636,46862379.9916
114739200,6407,281400,79550095.503,32624351.061,7322.9712,790993423741.6827,46925744.442
114566400,6409,281187,79705331.9449,32696268.1866,7334.2421,792540474431.411,47009063.7583
114393600,6471,281045,79639979.1803,32435440.3096,7293.7044,791894191755.8657,47204538.8707
114220800,6371,280832,79756727.9838,32859565.7005,7359.8798,793058669967.6521,46897162.2833
114048000,6238,280642,79458460.7413,33202837.8229,7414.6028,790096433640.9348,46255622.9184
113875200,6285,280501,79829089.6692,33212840.5179,7416.217,793785404069.4109,46616249.1513
113702400,6298,280336,79799667.6268,33149222.3154,7406.1108,793496449999.1935,46650445.3114
113529600,7303,280076,80171967.9742,29753064.7309,6902.6146,797201945187.6848,50418903.2433
113356800,7010,279895,80233979.8247,30808472.5604,7050.11,797822288736.8745,49425507.2643
113184000,7081,279366,80640813.0279,30767738.9647,7042.5296,801871519838.3982,49873074.0632
113011200,6047,278853,80643702.4211,34554136.9497,7621.1628,801904762293.2417,46089565.4714
112838400,4020,278388,80602733.7304,43045505.5986,9342.5919,801502935520.1908,37557228.1318
112665600,4045,278247,80554452.0489,42902658.209,9307.1195,801028580562.0029,37651793.8399
112492800,4163,278083,80458680.8003,42312444.4324,9162.8907,800082080443.4603,38146236.3679
112320000,4186,277912,80882452.6323,42415439.9921,9187.4489,804301929333.4996,38467012.6402
112147200,4199,277796,80866875.8047,42350359.0429,9171.889,804152887843.4269,38516516.7618
